id,xmin,xmax,ymin,ymax,sumID,sumAREA_M,sumPOPULACAO,sumIPVS_V10,sumid_2,sumxmin,sumxmax,sumymin,sumymax,sumárea real,sum%area,sumPop_real,count
25,338389.36257,339389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
26,339389.36257,340389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
27,340389.36257,341389.36257,7415187.56918,7416187.56918,24.00000,9439433.76000,0.00000,0.00000,27.00000,340389.36257,341389.36257,7415187.56918,7416187.56918,196839.59717,0.02085,0.00000,1.00000
28,341389.36257,342389.36257,7415187.56918,7416187.56918,24.00000,9439433.76000,0.00000,0.00000,28.00000,341389.36257,342389.36257,7415187.56918,7416187.56918,882160.05420,0.09345,0.00000,1.00000
29,342389.36257,343389.36257,7415187.56918,7416187.56918,24.00000,9439433.76000,0.00000,0.00000,29.00000,342389.36257,343389.36257,7415187.56918,7416187.56918,259688.08789,0.02751,0.00000,1.00000
30,343389.36257,344389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
31,344389.36257,345389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
32,345389.36257,346389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
33,346389.36257,347389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
34,347389.36257,348389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
35,348389.36257,349389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
36,349389.36257,350389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
37,350389.36257,351389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
38,351389.36257,352389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
39,352389.36257,353389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
40,353389.36257,354389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
41,354389.36257,355389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
42,355389.36257,356389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
43,356389.36257,357389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
44,357389.36257,358389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
45,358389.36257,359389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
46,359389.36257,360389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
47,360389.36257,361389.36257,7415187.56918,7416187.56918,,,,,,,,,,,,,
48,313389.36257,314389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
49,314389.36257,315389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
50,315389.36257,316389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
51,316389.36257,317389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
52,317389.36257,318389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
53,318389.36257,319389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
54,319389.36257,320389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
55,320389.36257,321389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
56,321389.36257,322389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
57,322389.36257,323389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
58,323389.36257,324389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
59,324389.36257,325389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
60,325389.36257,326389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
61,326389.36257,327389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
62,327389.36257,328389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
63,328389.36257,329389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
64,329389.36257,330389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
65,330389.36257,331389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
66,331389.36257,332389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
67,332389.36257,333389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
68,333389.36257,334389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
69,334389.36257,335389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
70,335389.36257,336389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
71,336389.36257,337389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
72,337389.36257,338389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
73,338389.36257,339389.36257,7414187.56918,7415187.56918,47.00000,22161784.90000,0.00000,0.00000,146.00000,676778.72514,678778.72514,14828375.13836,14830375.13836,13427.58423,0.00106,0.00000,2.00000
74,339389.36257,340389.36257,7414187.56918,7415187.56918,24.00000,9439433.76000,0.00000,0.00000,74.00000,339389.36257,340389.36257,7414187.56918,7415187.56918,231613.99121,0.02454,0.00000,1.00000
75,340389.36257,341389.36257,7414187.56918,7415187.56918,24.00000,9439433.76000,0.00000,0.00000,75.00000,340389.36257,341389.36257,7414187.56918,7415187.56918,901382.80249,0.09549,0.00000,1.00000
76,341389.36257,342389.36257,7414187.56918,7415187.56918,24.00000,9439433.76000,0.00000,0.00000,76.00000,341389.36257,342389.36257,7414187.56918,7415187.56918,998379.79346,0.10577,0.00000,1.00000
77,342389.36257,343389.36257,7414187.56918,7415187.56918,24.00000,9439433.76000,0.00000,0.00000,77.00000,342389.36257,343389.36257,7414187.56918,7415187.56918,319679.55298,0.03387,0.00000,1.00000
78,343389.36257,344389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
79,344389.36257,345389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
80,345389.36257,346389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
81,346389.36257,347389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
82,347389.36257,348389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
83,348389.36257,349389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
84,349389.36257,350389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
85,350389.36257,351389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
86,351389.36257,352389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
87,352389.36257,353389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
88,353389.36257,354389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
89,354389.36257,355389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
90,355389.36257,356389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
91,356389.36257,357389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
92,357389.36257,358389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
93,358389.36257,359389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
94,359389.36257,360389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
95,360389.36257,361389.36257,7414187.56918,7415187.56918,,,,,,,,,,,,,
96,313389.36257,314389.36257,7413187.56918,7414187.56918,,,,,,,,,,,,,
97,314389.36257,315389.36257,7413187.56918,7414187.56918,,,,,,,,,,,,,
98,315389.36257,316389.36257,7413187.56918,7414187.56918,,,,,,,,,,,,,
99,316389.36257,317389.36257,7413187.56918,7414187.56918,,,,,,,,,,,,,
100,317389.36257,318389.36257,7413187.56918,7414187.56918,,,,,,,,,,,,,
101,318389.36257,319389.36257,7413187.56918,7414187.56918,,,,,,,,,,,,,
102,319389.36257,320389.36257,7413187.56918,7414187.56918,,,,,,,,,,,,,
