id,xmin,xmax,ymin,ymax,sumid,sumid_2,sumAREA_M,sumPOPULACAO,sumareareal,sum%area,sumpop_real,count
266,339389.36257,340389.36257,7410187.56918,7411187.56918,1596.00000,1327.00000,15500285.58000,1112.00000,1000000.00000,0.87314,154.31521,6.00000
267,340389.36257,341389.36257,7410187.56918,7411187.56918,1068.00000,687.00000,12117676.01000,576.00000,590183.18359,0.84749,30.01637,4.00000
288,313389.36257,314389.36257,7409187.56918,7410187.56918,1440.00000,1040.00000,9524636.15000,618.00000,684788.61768,1.81692,145.64219,5.00000
289,314389.36257,315389.36257,7409187.56918,7410187.56918,2023.00000,7022.00000,10362784.96000,1143.00000,1000000.00000,1.46071,233.05474,7.00000
290,315389.36257,316389.36257,7409187.56918,7410187.56918,1160.00000,2867.00000,9535267.34000,401.00000,1000000.00049,0.45824,85.48251,4.00000
291,316389.36257,317389.36257,7409187.56918,7410187.56918,291.00000,4.00000,6912969.36000,32.00000,999999.99951,0.14466,4.62898,1.00000
292,317389.36257,318389.36257,7409187.56918,7410187.56918,1168.00000,1061.00000,9852408.24000,83.00000,1000000.00000,0.70280,8.20169,4.00000
293,318389.36257,319389.36257,7409187.56918,7410187.56918,2051.00000,2649.00000,11212625.58000,682.00000,1000000.00049,1.13382,39.72184,7.00000
294,319389.36257,320389.36257,7409187.56918,7410187.56918,6468.00000,73805.00000,3771288.60000,11863.00000,999999.99951,15.13794,8514.02363,22.00000
295,320389.36257,321389.36257,7409187.56918,7410187.56918,11210.00000,462089.00000,3957683.77000,29623.00000,1000000.00000,22.93592,18118.55333,38.00000
296,321389.36257,322389.36257,7409187.56918,7410187.56918,7696.00000,196360.00000,3055568.73000,20200.00000,1000000.00049,13.43974,11244.81595,26.00000
297,322389.36257,323389.36257,7409187.56918,7410187.56918,2970.00000,13118.00000,4669201.86000,5110.00000,999999.99951,3.13310,1775.05099,10.00000
298,323389.36257,324389.36257,7409187.56918,7410187.56918,1490.00000,6209.00000,3533532.84000,1771.00000,1000000.00049,1.10382,329.29307,5.00000
299,324389.36257,325389.36257,7409187.56918,7410187.56918,1196.00000,3013.00000,3087900.93000,1062.00000,961123.37500,1.39218,371.69834,4.00000
300,325389.36257,326389.36257,7409187.56918,7410187.56918,1200.00000,62.00000,2274890.41000,68.00000,93332.34790,0.30141,1.09385,4.00000
302,327389.36257,328389.36257,7409187.56918,7410187.56918,302.00000,18.00000,6635284.80000,0.00000,30584.90137,0.00461,0.00000,1.00000
303,328389.36257,329389.36257,7409187.56918,7410187.56918,606.00000,37.00000,10990856.29000,0.00000,125788.12036,0.02442,0.00000,2.00000
308,333389.36257,334389.36257,7409187.56918,7410187.56918,308.00000,23.00000,12722351.14000,0.00000,44314.15723,0.00348,0.00000,1.00000
309,334389.36257,335389.36257,7409187.56918,7410187.56918,309.00000,23.00000,12722351.14000,0.00000,313573.37939,0.02465,0.00000,1.00000
310,335389.36257,336389.36257,7409187.56918,7410187.56918,310.00000,23.00000,12722351.14000,0.00000,1000000.00049,0.07860,0.00000,1.00000
311,336389.36257,337389.36257,7409187.56918,7410187.56918,1555.00000,3796.00000,14149426.01000,1108.00000,999999.99951,1.27468,3.31119,5.00000
312,337389.36257,338389.36257,7409187.56918,7410187.56918,3744.00000,31686.00000,15275390.84000,5645.00000,1000000.00049,4.54589,1250.55505,12.00000
313,338389.36257,339389.36257,7409187.56918,7410187.56918,1878.00000,3849.00000,5512624.34000,3004.00000,999999.99951,0.81005,627.37081,6.00000
314,339389.36257,340389.36257,7409187.56918,7410187.56918,942.00000,666.00000,5021845.44000,1112.00000,749072.28101,0.39348,212.94049,3.00000
315,340389.36257,341389.36257,7409187.56918,7410187.56918,630.00000,51.00000,2273902.50000,576.00000,55470.98291,0.03627,18.60581,2.00000
